date,pageviews
20181216,136497
20181217,126686
20181210,123016
20180909,121791
20180815,119361
20181209,119236
20181126,118092
20190113,117418
20180820,116307
20190121,115498
20181212,113971
20181218,108775
20181219,108315
20190124,107297
20190325,106163
20190306,105942
20190110,104921
20181213,104893
20190102,104758
20190109,104336
20180822,104011
20181205,103783
20181202,102599
20190106,101295
20180812,100887
20180917,100455
20181211,100377
20180823,98701
20181228,98166
20181029,97807
20180910,97447
20190502,97420
20181128,96629
20180916,96567
20181107,96393
20181104,96259
20181111,96101
20180826,96071
20181206,96005
20181031,95952
20181227,95388
20181112,95123
20180819,95040
20180827,94301
20190123,92882
20190108,92716
20180926,92382
20181204,92124
20181203,92004
20181105,91810
20181001,90521
20190107,90082
20190203,90016
20180905,89555
20181118,89170
20181208,89165
20190112,89164
20190127,89127
20190327,88728
20190131,88363
20190331,88341
20190310,88311
20190130,88211
20190114,88133
20180829,88124
20180821,88093
20180903,87979
20190317,87750
20190422,87647
20181028,87442
20181215,87419
20180902,87411
20190326,87222
20181125,87218
20181129,87214
20181022,87088
20190303,87062
20190204,86832
20180930,86561
20190103,86528
20180911,86009
20190122,85749
20190120,85614
20180904,85610
20190307,85527
20190407,85502
20190509,84809
20180912,84505
20181207,84335
20190212,84317
20190324,84289
20180814,84056
20181021,83900
20190501,83855
20180924,83793
20190328,83627
20181030,83564
20181220,83418
20181119,83260
20190313,83070
20190104,83059
20181101,83014
20181122,82909
20190116,82660
20180813,82619
20180830,82603
20190403,82446
20181023,82296
20190117,82051
20190304,81978
20190321,81969
20190402,81713
20190206,81535
20181007,81496
20181115,81381
20181024,81340
20190408,81307
20190115,81108
20190128,80814
20180923,80795
20180806,80678
20181114,80597
20180828,80422
20190329,80192
20190305,80140
20181008,79727
20190320,79677
20181108,79640
20180816,79615
20181127,79572
20181003,79298
20190213,79213
20190207,78760
20190129,78752
20190311,78269
20180809,78146
20190217,78074
20190312,77693
20190221,77688
20181121,77654
20190404,77641
20190308,77469
20190401,77444
20180919,77435
20180808,77081
20180730,77017
20180906,76992
20190410,76981
20190228,76910
20180805,76801
20180927,76570
20190411,76474
20181130,76408
20181106,76365
20181002,76305
20181120,76282
20190205,76106
20190409,76091
20190226,76084
20190513,75992
20181113,75815
20181214,75567
20190516,75406
20181229,75351
20190224,75268
20190210,75195
20181025,74955
20190314,74821
20190225,74572
20190505,74569
20190220,74362
20190111,74164
20180831,74035
20190318,73850
20190512,73793
20180920,73594
20190506,73517
20190412,73065
20190503,73050
20190508,72668
20181017,72618
20190227,72496
20190322,72183
20190405,72083
20181014,72072
20180731,72024
20190211,71920
20190515,71910
20181018,71886
20180918,71625
20190415,71574
20190430,71440
20181123,71215
20190519,71141
20190315,70962
20190423,70307
20190514,69904
20190424,69740
20181004,69701
20190126,69573
20180801,69541
20180807,69401
20190218,69294
20190414,69234
20181226,69232
20190429,69003
20190416,68925
20181010,68902
20180913,68843
20181015,68739
20190301,68629
20190428,68587
20190201,68562
20190507,67894
20190323,67590
20180729,67578
20190510,66821
20190319,66720
20180925,66582
20181109,66494
20180702,66477
20181009,65668
20181011,65487
20180703,65386
20190214,65078
20190208,64968
20190219,64803
20180701,64130
20190118,63610
20181221,63544
20180818,63378
20190425,63249
20180802,63001
20190202,62889
20180723,62452
20181016,62389
20180717,62363
20180824,62266
20190125,62190
20190517,61905
20181110,61711
20190105,61644
20190215,61528
20190101,61515
20181102,60907
20190504,60251
20190119,59924
20190330,59811
20190222,59800
20180810,59586
20190418,59439
20181201,59165
20180907,59094
20190413,58697
20180704,58594
20181116,58315
20190316,58108
20190419,57907
20180817,57841
20190309,57308
20190427,57255
20180928,57067
20181230,56711
20190421,56508
20180811,56190
20180921,55940
20180901,55909
20180914,55666
20190406,55638
20190417,55132
20190302,55070
20181005,55046
20190426,54823
20180705,54666
20180722,54663
20180908,54482
20190420,54328
20180718,54173
20180708,53700
20181019,53673
20181117,53532
20180711,53506
20181026,53354
20180725,53341
20181103,53330
20190209,52915
20180710,52191
20190511,52075
20180825,51864
20180929,51830
20181027,51242
20180709,51040
20180719,50748
20180726,50151
20180724,49796
20180922,49733
20181020,49186
20180915,49119
20181222,49061
20190518,48970
20190216,48292
20181124,47780
20181006,47221
20180716,47151
20180728,47042
20181012,46685
20180804,46541
20190223,46505
20180712,45944
20180715,44273
20180803,44172
20181013,42258
20180720,41804
20180727,41322
20180706,39569
20180721,38773
20181225,38310
20180713,37754
20180714,35582
20181223,33954
20180707,33772
20181231,27884
20181224,19228